order_id,customer_id,customer_name,product_id,product_name,order_date,quantity,unit_price,payment_method,order_status,store_id
30173,253,Customer_0253,53,Product_0053,2025-05-02,1,4520.52,Net Banking,Delivered,8
18217,306,Customer_0306,170,Product_0170,2025-05-02,2,873.49,Credit Card,Delivered,25
17177,897,Customer_0897,36,Product_0036,2025-05-02,5,28729.19,UPI,Delivered,42
15725,244,Customer_0244,94,Product_0094,2025-05-02,10,148.33,Wallet,Shipped,44
4036,678,Customer_0678,186,Product_0186,2025-05-02,2,3998.63,Debit Card,Delivered,9
29730,105,Customer_0105,109,Product_0109,2025-05-02,4,4995.16,Credit Card,Delivered,39
18416,367,Customer_0367,23,Product_0023,2025-05-02,3,58740.28,Debit Card,Delivered,33
26630,151,Customer_0151,47,Product_0047,2025-05-02,2,2001.26,Debit Card,Cancelled,42
937,37,Customer_0037,78,Product_0078,2025-05-02,1,9205.87,Credit Card,Delivered,25
15626,180,Customer_0180,149,Product_0149,2025-05-02,6,219.41,UPI,Cancelled,26
812,572,Customer_0572,125,Product_0125,2025-05-02,5,17209.28,UPI,Shipped,20
15634,266,Customer_0266,18,Product_0018,2025-05-02,4,19612.77,Credit Card,Delivered,39
11595,448,Customer_0448,119,Product_0119,2025-05-02,5,663.41,Debit Card,Delivered,2
18183,29,Customer_0029,73,Product_0073,2025-05-02,1,68378.83,UPI,Cancelled,48
18092,857,Customer_0857,46,Product_0046,2025-05-02,2,58518.74,Credit Card,Delivered,50
19052,459,Customer_0459,75,Product_0075,2025-05-02,4,1666.16,Wallet,Returned,31
30919,880,Customer_0880,6,Product_0006,2025-05-02,1,25078.21,Cash on Delivery,Delivered,31
18925,806,Customer_0806,26,Product_0026,2025-05-02,4,190.58,UPI,Shipped,5
37106,921,Customer_0921,7,Product_0007,2025-05-02,2,12224.13,UPI,Delivered,35
43314,535,Customer_0535,21,Product_0021,2025-05-02,2,37709.46,Credit Card,Delivered,22
27801,704,Customer_0704,103,Product_0103,2025-05-02,4,2087.14,Credit Card,Delivered,25
3814,773,Customer_0773,131,Product_0131,2025-05-02,3,2530.23,Wallet,Delivered,41
35501,400,Customer_0400,110,Product_0110,2025-05-02,1,6162.16,Net Banking,Delivered,8
30043,316,Customer_0316,82,Product_0082,2025-05-02,3,2177.29,Credit Card,Delivered,36
10956,533,Customer_0533,181,Product_0181,2025-05-02,1,1798.71,UPI,Delivered,41
44923,830,Customer_0830,78,Product_0078,2025-05-02,1,9002.05,UPI,Processing,46
16970,74,Customer_0074,169,Product_0169,2025-05-02,1,43935.19,Debit Card,Shipped,6
35809,594,Customer_0594,147,Product_0147,2025-05-02,6,607.29,Cash on Delivery,Delivered,46
